"성별(1)","행정구역별(1)",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"성별(1)","행정구역별(1)",일반고,일반고,일반고,일반고,일반고,일반고,일반고,일반고,일반고,일반고,일반고,일반고,일반고
"전체","전국",1425882,1381130,1356070,1314073,1278008,1256108,1193562,1096331,1001756,958108,961275,961714,993933
"전체","서울특별시",233738,229293,225493,215311,204931,198374,183526,165341,148956,141699,149174,146767,149106
"전체","부산광역시",85906,79841,75614,72175,68119,65353,61104,55440,50304,48053,48426,47995,48981
"전체","대구광역시",70489,63517,62136,59025,56869,54753,51583,47038,42377,39319,42183,41926,43286
"전체","인천광역시",83164,78054,74064,70605,67867,66037,62937,57704,53294,51908,51784,53607,57045
"전체","광주광역시",49427,49742,50868,49768,49446,48373,45728,42365,38396,35163,33933,32721,35071
"전체","대전광역시",45192,41324,40038,38848,37402,36968,34238,30905,27866,26703,26416,25506,25907
"전체","울산광역시",38010,37460,37005,34748,32796,31535,29529,27018,24246,22669,23452,23010,24021
"전체","세종특별자치시",-,-,2227,2485,3657,4924,6025,6896,7744,8400,8920,9524,10484
"전체","경기도",373241,372602,372216,366220,361396,360835,346518,320852,296310,287627,286881,288913,298595
"전체","강원도",44978,44892,44774,44139,43264,42218,39921,36712,33508,31471,30495,29501,29892
"전체","충청북도",40509,37841,36620,35609,34312,33574,32055,29417,26606,25114,24597,25747,28096
"전체","충청남도",59712,58091,54919,53713,52442,51901,50312,47022,42673,40178,40443,41661,43747
"전체","전라북도",55266,54839,54431,52423,52137,51279,48853,45568,41946,41050,39560,38336,38771
"전체","전라남도",49765,46561,44494,42419,41564,40758,38732,35342,31870,29806,28618,27803,28250
"전체","경상북도",70192,67603,65963,63451,61443,59972,57666,52496,47473,45208,44273,43006,43040
"전체","경상남도",107455,101506,97367,95071,92447,91325,86618,79126,72160,68519,67072,70852,74286
"전체","제주특별자치도",18838,17964,17841,18063,17916,17929,18217,17089,16027,15221,15048,14839,15355
