년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,90464,14020,5429,4256,5580,2887,2760,2260,0,23460,3232,2298,3849,3896,3638,4926,6976,1069
2012,89538,14059,5222,3873,5344,2974,2528,2281,0,24234,3254,2228,3770,3892,3404,4679,6788,1008
2013,89469,14223,5007,3850,5097,3044,2456,2309,164,24904,3231,2209,3554,3876,3273,4651,6599,1022
2014,90174,14097,5062,3850,5145,3076,2537,2316,225,25443,3266,2232,3549,3839,3277,4610,6584,1066
2015,90878,14079,4991,3864,5016,3163,2536,2322,347,25968,3284,2228,3609,3903,3232,4621,6642,1073
2016,91474,13951,4914,3851,5084,3086,2636,2326,479,26449,3269,2279,3684,3853,3206,4615,6701,1091
2017,91064,13595,4855,3841,5064,3019,2649,2302,624,26494,3271,2244,3690,3802,3181,4611,6684,1138
2018,90855,13374,4788,3913,5003,3110,2675,2282,693,26403,3295,2218,3757,3809,3175,4569,6629,1162
2019,89975,13198,4719,3841,4996,3084,2673,2258,785,26040,3303,2215,3658,3800,3176,4510,6552,1167
2020,89666,13045,4752,3774,4954,2978,2629,2228,834,26095,3309,2190,3590,3855,3236,4546,6475,1176
2021,91448,14099,4957,4126,4858,2924,2632,2316,877,26246,3264,2205,3669,3867,3262,4520,6357,1269
2022,93555,14135,5141,4368,5066,2899,2660,2316,952,26596,3266,2449,3837,3925,3256,4547,6849,1293
2023,94316,14112,5095,4357,5115,3115,2617,2281,1028,26684,3241,2578,3994,3987,3235,4523,7049,1305
