년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,7984,1096,490,322,433,246,220,170,,1638,266,228,402,526,488,598,726,135
2012,7900,1110,476,294,413,251,199,176,,1749,264,220,384,530,414,569,720,131
2013,7825,1136,456,285,400,260,190,182,15,1850,246,214,348,528,376,545,668,126
2014,7904,1142,472,286,394,261,193,200,21,1888,247,219,355,522,360,544,671,129
2015,7913,1136,483,285,384,268,190,194,33,1931,256,213,342,533,344,540,647,134
2016,7948,1131,476,285,384,271,188,192,35,1976,258,205,341,527,320,567,648,144
2017,7958,1141,481,286,373,270,190,193,48,1992,241,213,342,526,317,554,646,145
2018,7791,1121,463,281,370,273,189,203,50,1919,241,204,339,518,314,546,622,138
2019,7712,1107,461,287,362,270,178,194,55,1910,250,206,317,520,307,528,617,143
2020,7658,1099,468,289,360,266,173,181,61,1896,244,207,308,523,307,530,610,136
2021,7843,1190,496,324,340,260,179,189,75,1943,247,214,294,513,308,530,604,137
2022,7888,1204,506,343,338,255,175,188,75,1933,246,213,314,498,312,521,637,130
2023,8026,1227,514,357,351,274,174,191,77,1945,243,245,316,500,317,506,658,131
