년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,1554,178,83,56,81,45,40,34,0,324,89,48,82,92,106,129,146,21
2012,1529,180,80,51,79,46,37,34,0,332,89,47,79,91,97,126,141,20
2013,1525,183,79,50,79,47,37,35,4,342,88,46,72,92,90,124,137,20
2014,1520,183,80,50,79,47,37,36,5,344,86,47,72,91,85,121,136,21
2015,1537,184,81,50,79,48,37,37,9,352,86,46,72,94,83,121,137,21
2016,1545,186,81,50,80,48,38,37,9,362,86,46,72,94,78,119,138,21
2017,1556,188,81,51,80,48,38,38,12,364,86,47,73,94,78,117,139,22
2018,1556,188,81,52,80,49,38,39,12,366,86,47,73,94,77,115,137,22
2019,1555,189,82,52,80,49,38,39,13,367,85,47,71,94,77,113,137,22
2020,1573,190,84,53,80,49,38,40,14,374,85,47,69,96,81,114,137,22
2021,1616,208,89,59,81,49,39,42,15,382,85,47,70,96,81,114,137,22
2022,1645,212,92,63,85,49,39,42,15,387,84,47,72,96,81,114,145,22
2023,1666,213,93,65,87,52,39,42,15,388,84,52,75,96,81,113,149,22
