년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,1425882,233738,85906,70489,83164,49427,45192,38010,0,373241,44978,40509,59712,55266,49765,70192,107455,18838
2012,1381130,229293,79841,63517,78054,49742,41324,37460,0,372602,44892,37841,58091,54839,46561,67603,101506,17964
2013,1356070,225493,75614,62136,74064,50868,40038,37005,2227,372216,44774,36620,54919,54431,44494,65963,97367,17841
2014,1314073,215311,72175,59025,70605,49768,38848,34748,2485,366220,44139,35609,53713,52423,42419,63451,95071,18063
2015,1278008,204931,68119,56869,67867,49446,37402,32796,3657,361396,43264,34312,52442,52137,41564,61443,92447,17916
2016,1256108,198374,65353,54753,66037,48373,36968,31535,4924,360835,42218,33574,51901,51279,40758,59972,91325,17929
2017,1193562,183526,61104,51583,62937,45728,34238,29529,6025,346518,39921,32055,50312,48853,38732,57666,86618,18217
2018,1096331,165341,55440,47038,57704,42365,30905,27018,6896,320852,36712,29417,47022,45568,35342,52496,79126,17089
2019,1001756,148956,50304,42377,53294,38396,27866,24246,7744,296310,33508,26606,42673,41946,31870,47473,72160,16027
2020,958108,141699,48053,39319,51908,35163,26703,22669,8400,287627,31471,25114,40178,41050,29806,45208,68519,15221
2021,961275,149174,48426,42183,51784,33933,26416,23452,8920,286881,30495,24597,40443,39560,28618,44273,67072,15048
2022,961714,146767,47995,41926,53607,32721,25506,23010,9524,288913,29501,25747,41661,38336,27803,43006,70852,14839
2023,993933,149106,48981,43286,57045,35071,25907,24021,10484,298595,29892,28096,43747,38771,28250,43040,74286,15355
