학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소
대학,1,강릉원주대학교,본교,강원,국립,기존,강원도 강릉시 죽헌길 7 
대학,2,강릉원주대학교,제2캠퍼스,강원,국립,기존,강원도 원주시 흥업면 남원로 150 
대학,3,강원대학교,본교,강원,국립,기존,강원도 춘천시 강원대학길 1 
대학,4,강원대학교,제2캠퍼스,강원,국립,기존,강원도 삼척시 중앙로 346 
대학,5,경북대학교,본교,대구,국립,기존,대구광역시 북구 대학로 80 
대학,7,경상국립대학교,본교,경남,국립,기존,경상남도 진주시 진주대로 501 
대학,8,공주대학교,본교,충남,국립,기존,충청남도 공주시 공주대학로 56 
대학,9,군산대학교,본교,전북,국립,기존,전라북도 군산시 대학로 558 
대학,10,금오공과대학교,본교,경북,국립,기존,경상북도 구미시 대학로 61 
대학,11,목포대학교,본교,전남,국립,기존,전라남도 무안군 청계면 영산로 1666 
대학,12,목포해양대학교,본교,전남,국립,기존,전라남도 목포시 해양대학로 91 
대학,13,부경대학교,본교,부산,국립,기존,부산광역시 남구 용소로 45 
대학,14,부산대학교,본교,부산,국립,기존,부산광역시 금정구 부산대학로63번길 2 
대학,19,서울대학교,본교,서울,국립대법인,기존,서울특별시 관악구 관악로 1 
대학,20,순천대학교,본교,전남,국립,기존,전라남도 순천시 중앙로 255 
대학,21,안동대학교,본교,경북,국립,기존,경상북도 안동시 경동로 1375 
대학,23,전남대학교,본교,광주,국립,기존,광주광역시 북구 용봉로 45 
대학,24,전남대학교,제2캠퍼스,전남,국립,기존,전라남도 여수시 대학로 50 
대학,25,전북대학교,본교,전북,국립,기존,전라북도 전주시 덕진구 백제대로 567 
대학,27,제주대학교,본교,제주,국립,기존,제주특별자치도 제주시 제주대학로 102 
대학,28,창원대학교,본교,경남,국립,기존,경상남도 창원시 의창구 창원대학로 20 
대학,29,충남대학교,본교,대전,국립,기존,대전광역시 유성구 대학로 99 
대학,30,충북대학교,본교,충북,국립,기존,충청북도 청주시 서원구 충대로 1 
대학,31,한국교원대학교,본교,충북,국립,기존,충청북도 청주시 흥덕구 강내면 태성탑연로 250 
대학,32,한국체육대학교,본교,서울,국립,기존,서울특별시 송파구 양재대로 1239 
대학,33,한국해양대학교,본교,부산,국립,기존,부산광역시 영도구 태종로 727 
대학,34,한국교통대학교,본교,충북,국립,기존,충청북도 충주시 대소원면 대학로 50 
대학,36,서울과학기술대학교,본교,서울,국립,기존,서울특별시 노원구 공릉로 232 
대학,37,한경대학교,본교,경기,국립,기존,경기도 안성시 중앙로 327 
대학,39,한밭대학교,본교,대전,국립,기존,대전광역시 유성구 동서대로 125 
대학,40,서울시립대학교,본교,서울,공립,기존,서울특별시 동대문구 서울시립대로 163 
대학,46,가톨릭대학교,본교,경기,사립,기존,경기도 부천시 원미구 지봉로 43 
대학,48,가톨릭대학교,제2캠퍼스,서울,사립,기존,서울특별시 서초구 반포대로 222 
대학,49,가톨릭대학교,제3캠퍼스,서울,사립,기존,서울특별시 종로구 창경궁로 296-12 
대학,50,감리교신학대학교,본교,서울,사립,기존,서울특별시 서대문구 독립문로 56 
대학,51,강남대학교,본교,경기,사립,기존,경기도 용인시 기흥구 강남로 40 
대학,52,건국대학교,본교,서울,사립,기존,서울특별시 광진구 능동로 120 
대학,53,건국대학교(글로컬),분교,충북,사립,기존,충청북도 충주시 충원대로 268 
대학,54,건양대학교,본교,충남,사립,기존,충청남도 논산시 대학로 121 
대학,55,건양대학교,제2캠퍼스,대전,사립,기존,대전광역시 서구 관저동로 158 
대학,56,경기대학교,본교,경기,사립,기존,경기도 수원시 영통구 광교산로 154-42 
대학,58,경기대학교,제2캠퍼스,서울,사립,기존,서울특별시 서대문구 경기대로9길 24 
대학,59,경남대학교,본교,경남,사립,기존,경상남도 창원시 마산합포구 경남대학로 7 
대학,60,경동대학교,본교,강원,사립,기존,강원도 고성군 토성면 봉포4길 46 
대학,61,대구한의대학교,본교,경북,사립,기존,경상북도 경산시 한의대로 1 
대학,62,경성대학교,본교,부산,사립,기존,부산광역시 남구 수영로 309 
대학,63,가천대학교,본교,경기,사립,기존,경기도 성남시 수정구 성남대로 1342 
대학,64,경일대학교,본교,경북,사립,기존,경상북도 경산시 하양읍 가마실길 50 
대학,65,경주대학교,본교,경북,사립,기존,경상북도 경주시 태종로 188 
대학,66,경희대학교,본교,서울,사립,기존,서울특별시 동대문구 경희대로 26 
대학,68,계명대학교,본교,대구,사립,기존,대구광역시 달서구 달구벌대로 1095 
대학,69,고려대학교,본교,서울,사립,기존,서울특별시 성북구 안암로 145 
대학,70,고려대학교(세종),분교,세종,사립,기존,세종특별자치시 조치원읍 세종로 2511 
대학,71,고신대학교,본교,부산,사립,기존,부산광역시 영도구 와치로 194 
