학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소,경도,위도
대학,1,강릉원주대학교,본교,강원,국립,기존,강원도 강릉시 죽헌길 7 ,128.8702001,37.76565922
대학,2,강릉원주대학교,제2캠퍼스,강원,국립,기존,강원도 원주시 흥업면 남원로 150 ,127.9221515,37.3051644
대학,3,강원대학교,본교,강원,국립,기존,강원도 춘천시 강원대학길 1 ,127.7483897,37.86803033
대학,4,강원대학교,제2캠퍼스,강원,국립,기존,강원도 삼척시 중앙로 346 ,129.1599286,37.45072037
대학,5,경북대학교,본교,대구,국립,기존,대구광역시 북구 대학로 80 ,128.6145104,35.88901305
대학,7,경상국립대학교,본교,경남,국립,기존,경상남도 진주시 진주대로 501 ,128.0979999,35.15671333
대학,8,공주대학교,본교,충남,국립,기존,충청남도 공주시 공주대학로 56 ,127.1386712,36.46685159
대학,9,군산대학교,본교,전북,국립,기존,전라북도 군산시 대학로 558 ,126.6803603,35.95034292
대학,10,금오공과대학교,본교,경북,국립,기존,경상북도 구미시 대학로 61 ,128.3881288,36.14566094
대학,11,목포대학교,본교,전남,국립,기존,전라남도 무안군 청계면 영산로 1666 ,126.4401572,34.91033029
대학,12,목포해양대학교,본교,전남,국립,기존,전라남도 목포시 해양대학로 91 ,126.3668233,34.79178056
대학,13,부경대학교,본교,부산,국립,기존,부산광역시 남구 용소로 45 ,129.1047358,35.13119386
대학,14,부산대학교,본교,부산,국립,기존,부산광역시 금정구 부산대학로63번길 2 ,129.083829,35.23224128
대학,19,서울대학교,본교,서울,국립대법인,기존,서울특별시 관악구 관악로 1 ,126.9481604,37.46628078
대학,20,순천대학교,본교,전남,국립,기존,전라남도 순천시 중앙로 255 ,127.4809175,34.96676121
대학,21,안동대학교,본교,경북,국립,기존,경상북도 안동시 경동로 1375 ,128.797633,36.54135132
대학,23,전남대학교,본교,광주,국립,기존,광주광역시 북구 용봉로 45 ,126.901104,35.17294272
대학,24,전남대학교,제2캠퍼스,전남,국립,기존,전라남도 여수시 대학로 50 ,127.7005106,34.77299622
대학,25,전북대학교,본교,전북,국립,기존,전라북도 전주시 덕진구 백제대로 567 ,127.1315857,35.84114062
대학,27,제주대학교,본교,제주,국립,기존,제주특별자치도 제주시 제주대학로 102 ,126.5642936,33.45723319
대학,28,창원대학교,본교,경남,국립,기존,경상남도 창원시 의창구 창원대학로 20 ,128.6948408,35.24601157
대학,29,충남대학교,본교,대전,국립,기존,대전광역시 유성구 대학로 99 ,127.3418431,36.3681434
대학,30,충북대학교,본교,충북,국립,기존,충청북도 청주시 서원구 충대로 1 ,127.4548241,36.63018161
대학,31,한국교원대학교,본교,충북,국립,기존,충청북도 청주시 흥덕구 강내면 태성탑연로 250 ,127.3573289,36.60566059
대학,32,한국체육대학교,본교,서울,국립,기존,서울특별시 송파구 양재대로 1239 ,127.1319993,37.51990941
대학,33,한국해양대학교,본교,부산,국립,기존,부산광역시 영도구 태종로 727 ,129.0875236,35.07439394
대학,34,한국교통대학교,본교,충북,국립,기존,충청북도 충주시 대소원면 대학로 50 ,127.872565,36.96883342
대학,36,서울과학기술대학교,본교,서울,국립,기존,서울특별시 노원구 공릉로 232 ,127.0767886,37.63307803
대학,37,한경대학교,본교,경기,국립,기존,경기도 안성시 중앙로 327 ,127.2637757,37.01019587
대학,39,한밭대학교,본교,대전,국립,기존,대전광역시 유성구 동서대로 125 ,127.3051383,36.34529884
대학,40,서울시립대학교,본교,서울,공립,기존,서울특별시 동대문구 서울시립대로 163 ,127.0599923,37.5825783
대학,46,가톨릭대학교,본교,경기,사립,기존,경기도 부천시 원미구 지봉로 43 ,126.7986097,37.4875285
대학,48,가톨릭대학교,제2캠퍼스,서울,사립,기존,서울특별시 서초구 반포대로 222 ,127.0058582,37.50238641
대학,49,가톨릭대학교,제3캠퍼스,서울,사립,기존,서울특별시 종로구 창경궁로 296-12 ,127.0047778,37.58489999
